custcode,Año,Trimestre,Mes,Día,Tipo_Cliente,Total abono,declinecause,saldo,Baja
462152,2015,Trim. 4,octubre,27,Residencial,496.30999999999995,NOUSA,1235.82,1
462154,2018,Trim. 1,enero,9,Residencial,484.17,INCOB,2647.97,1
462159,2016,Trim. 3,agosto,30,Residencial,380.79,CIERR,483.61,1
462164,2015,Trim. 2,mayo,27,Residencial,0,DISCO,1104,0
462164,2015,Trim. 3,septiembre,22,Residencial,247.11,DISCO,598,1
462166,2017,Trim. 4,noviembre,17,Residencial,695.39,CAMEM,841.42,1
462168,2017,Trim. 3,julio,12,Residencial,592.15,NOUSA,0,1
462174,2015,Trim. 3,septiembre,14,Residencial,304,MUDAN,397.27,1
462177,2017,Trim. 4,diciembre,22,Residencial,245.87,MUDAN,0,1
462179,2016,Trim. 1,enero,13,Residencial,0,RAZON,0,0
462179,2016,Trim. 4,octubre,3,Residencial,0,RAZON,633,0
462183,2018,Trim. 1,marzo,12,Residencial,899.17,CAMEM,738.23,1
462201,2019,Trim. 1,febrero,18,Residencial,859.26,INCOB,6508.8,1
462208,2015,Trim. 3,agosto,5,Residencial,0,RAZON,11296.89,0
462214,2016,Trim. 1,marzo,3,Residencial,472.08,CIERR,0,1
462215,2019,Trim. 1,febrero,28,Residencial,0,RAZON,0,0
462216,2017,Trim. 4,octubre,30,Residencial,0,CIERR,0,0
462220,2017,Trim. 2,junio,9,Residencial,728.88,PROEC,0,1
462221,2016,Trim. 4,octubre,14,Residencial,400.83,MUDAN,523.8,1
462226,2017,Trim. 1,marzo,28,Residencial,440.91,CIERR,0,1
462229,2016,Trim. 3,julio,29,Residencial,0,RAZON,0,0
462234,2016,Trim. 4,diciembre,15,Residencial,426.36,NOUSA,0,1
462235,2016,Trim. 1,marzo,1,Residencial,394.2,MUDAN,490.78,1
462243,2016,Trim. 1,marzo,4,Residencial,0,INCOB,794.54,0
462243,2019,Trim. 4,diciembre,6,Residencial,400.83,INCOB,1275.9,1
462244,2018,Trim. 1,marzo,14,Residencial,0,NOUSA,0,0
462244,2019,Trim. 1,enero,18,Residencial,941.99,NOUSA,0,1
462247,2018,Trim. 1,enero,26,Residencial,247.11,CIERR,0,1
462249,2016,Trim. 4,octubre,18,Residencial,440.33,PROEC,0,1
462256,2015,Trim. 2,abril,24,Residencial,296.70000000000005,INCOB,718.02,1
462260,2017,Trim. 1,enero,18,Residencial,0,CAMBI,0,0
